# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_EXON	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_START_GAINED	variants_effect_SYNONYMOUS_CODING	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME	variants_effect_UTR_5_PRIME
AL109754.1	ENSG00000276525	ENST00000614195	misc_RNA	0	0	77	38	1	0	0	0	0	38	0	0
AL354824.1	ENSG00000230506	ENST00000424931		0	0	51	8	2	35	0	0	0	6	0	0
AL354824.1	ENSG00000230506	ENST00000662058		0	0	60	9	3	40	0	0	0	8	0	0
AL354824.2	ENSG00000232448	ENST00000458004		0	0	21	8	1	5	0	0	0	7	0	0
AL354824.2	ENSG00000232448	ENST00000666915		0	0	36	8	1	19	0	0	0	8	0	0
ANKEF1	ENSG00000132623	ENST00000378380	protein_coding	2	1	80	14	0	32	1	0	2	27	6	1
ANKEF1	ENSG00000132623	ENST00000378392	protein_coding	3	1	80	14	0	32	1	1	2	26	6	2
ANKEF1	ENSG00000132623	ENST00000437504	processed_transcript	0	0	129	10	0	119	0	0	0	0	0	0
ANKEF1	ENSG00000132623	ENST00000488991	processed_transcript	0	0	75	12	3	32	0	0	0	28	0	0
SNAP25	ENSG00000132639	ENST00000254976	protein_coding	0	0	9	0	0	0	0	0	0	9	0	0
SNAP25	ENSG00000132639	ENST00000304886	protein_coding	0	0	9	0	0	0	0	0	0	9	0	0
SNAP25	ENSG00000132639	ENST00000430336	protein_coding	0	0	8	0	0	0	0	0	0	8	0	0
SNAP25-AS1	ENSG00000227906	ENST00000421143		0	0	560	35	3	522	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000426491		0	0	402	8	0	394	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000438646		0	0	109	39	3	60	0	0	0	7	0	0
SNAP25-AS1	ENSG00000227906	ENST00000451151		0	0	340	14	0	326	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000453544		0	0	337	11	0	326	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000603245		0	0	91	24	1	29	0	0	0	37	0	0
SNAP25-AS1	ENSG00000227906	ENST00000603542		0	0	576	35	16	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000605592		0	0	340	14	0	326	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000655307		0	0	572	39	11	522	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000656496		0	0	566	39	5	522	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000658443		0	0	576	35	16	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000658520		0	0	87	0	0	50	0	0	0	37	0	0
SNAP25-AS1	ENSG00000227906	ENST00000660550		0	0	572	39	8	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000661134		0	0	106	39	32	3	0	0	0	32	0	0
SNAP25-AS1	ENSG00000227906	ENST00000661614		0	0	576	24	27	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000662559		0	0	576	37	17	522	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000663466		0	0	576	24	27	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000664172		0	0	576	35	16	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000666905		0	0	576	35	16	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000667042		0	0	572	39	11	522	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000670580		0	0	576	24	27	525	0	0	0	0	0	0
SNAP25-AS1	ENSG00000227906	ENST00000671416		0	0	113	41	8	57	0	0	0	7	0	0
SNAP25-AS1	ENSG00000227906	ENST00000671453		0	0	340	14	0	326	0	0	0	0	0	0
